Decal_Recipient,Closed_Moved,Location,Year,Category,SubminusCategory
Seaview Outfitters,,114 N. Walnut St,2017,Retail,
Shalom Center,,620 S Walnut St,2014,Nonprofit,
Sherwood & Associates,,820 W 17th St,2010,Professional Office,Accountant
Staples,,2815 E 3rd St,1996,Retail,Office Supply
Starbucks,,2966 E 3rd St,2009,Restaurant/Bar,Coffee
Starbucks,,110 S Indiana Ave,2011,Restaurant/Bar,Coffee
Starbucks,,1921 S Walnut St,2012,Restaurant/Bar,Coffee
Starbucks,,115 S SR 46 Bypass,2014,Restaurant/Bar,Coffee
State Farm Insurance, Tanya Mitchell-Yeager Agency,,2666 E 2nd St,2001,Retail,
Steak n Shake,,1919 N College Ave,1993,Restaurant/Bar,Fast Food
Stefanos,,101 W Kirkwood Ave # 21,2009,Restaurant/Bar,Caf
Subway,,200 N Walnut St,2010,Restaurant/Bar,Fast Food
Taco Bell,,3702 W 3rd St,2009,Restaurant/Bar,Fast Food
Target,,College Mall,1993,Retail,General Department Store
The Butchers Block,,115 IN-46,2010,Grocery/Specialty Foods,
The Green Nursery,,101 W. Kirkwood Ave., Suite 107,2017,Baby Store,
Tivoli Fashions,,101 W Kirkwood Ave # 106,2011,Retail,Womens Clothing
German American Bannk,,211 S College Ave,2009,Bank,
United Parcel Service (UPS),,899 S College Mall Rd,1996,Retail,Shipping and Mailing Service
Upland Brewery,,350 W 11th St,2015,Restaurant/Bar,Brewery/Restaurant
Village Pantry, East Tenth Street,,1831 E 10th St,2011,Grocery/Specialty Foods,Convenience
Wonder Lab Museum,,308 W 4th St,2009,Nonprofit,Childrens Museum
Yogis Grill & Bar,,519 E 10th St,2009,Restaurant/Bar,American
Zales Jewelry Store,,College Mall,1993,Retail,
Zodiac Hair & Nail Salon,,820 W 17th St #3,2001,Personal Care/Salon,Beauty Salon
